problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,MIMIC,"['100', '50', '0.7']",88.0,4540,19.234420046,500400.0
CONTPEAKS,GA,"['100', '30', '30']",99.0,3730,0.230187938,180658.0
CONTPEAKS,SA,"['0.75']",99.0,4000,0.006600055,4011.0
CONTPEAKS,RHC,"[]",97.0,4210,0.035818517,4221.0
FLIPFLOP,GA,"['100', '30', '50']",610.0,1880,0.413753618,109149.0
FLIPFLOP,SA,"['0.75']",772.0,3000,0.005858004,3011.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",856.0,1580,1130.0802002,174800.0
FLIPFLOP,RHC,"[]",750.0,2970,0.032768728999999996,2981.0
NN,SA,"['/NN', 'SA', '0.1']",0.563607085346,2380,186.715591694,0
NN,RHC,"['/NN', 'RH']",0.517799352751,2270,177.209337569,0
NN,GA,"['/NN', 'GA', '50', '10', '2']",0.46584938703999995,2930,4886.98120248,0
NN,Backprop,"['/NN', 'Backpro']",0.58904109589,70,17.143356164,0
TSP,SA,"['0.35']",0.0535708765875,3000,0.002186307991,3011.0
TSP,GA,"['100', '50', '10']",0.11948233436899999,2430,0.44341821099600004,133812.0
TSP,MIMIC,"['100', '50', '0.1']",0.0326727569789,2080,302.43929122099996,229800.0
TSP,RHC,"[]",0.0517742680573,2920,0.00427623900396,2931.0
